age,job,education,default,balance,loan,day,month,y,val_email,phone_type,ConsumerGroup,contacts,days_since,total_contacts,last_campaign_outcome,mortgage
53,technician,secondary,no,638011,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,no
36,admin.,secondary,no,465354,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
37,admin.,secondary,no,358537,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,services,secondary,no,765548,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
50,management,secondary,no,503590,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
60,blue-collar,unknown,no,827450,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
54,retired,secondary,no,1367320,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
58,retired,unknown,no,607527,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
36,admin.,primary,no,533379,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
58,self-employed,tertiary,no,657515,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,technician,secondary,no,872728,no,5,may,yes,no,unknown,A,2,-1,0,unknown,yes
55,technician,secondary,no,195440,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
29,management,tertiary,no,825086,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
54,blue-collar,secondary,no,727055,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
48,management,tertiary,no,744893,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
32,management,tertiary,no,1329167,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
42,admin.,secondary,no,320406,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
24,technician,secondary,no,631407,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
38,entrepreneur,tertiary,no,494212,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
38,management,tertiary,no,259485,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
47,blue-collar,unknown,no,1213690,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
40,blue-collar,unknown,no,543687,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
46,services,primary,no,775674,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
32,admin.,tertiary,no,696395,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
53,technician,secondary,no,560728,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
57,blue-collar,primary,no,319115,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
33,services,secondary,no,210556,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
49,blue-collar,unknown,no,1039435,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
51,management,tertiary,no,857436,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
60,retired,tertiary,no,890963,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
59,management,tertiary,no,870120,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
55,technician,secondary,no,573214,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
35,blue-collar,secondary,no,348012,yes,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
57,blue-collar,secondary,no,1012896,yes,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
31,services,secondary,no,274649,yes,5,may,no,no,unknown,B,1,-1,0,unknown,yes
54,management,secondary,no,359116,yes,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
55,blue-collar,primary,no,1120052,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
43,technician,secondary,no,643995,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
53,technician,secondary,no,552338,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
44,blue-collar,secondary,no,349388,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
55,services,secondary,no,452107,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
49,services,secondary,no,708708,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
55,services,secondary,yes,1247210,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
45,admin.,secondary,no,790526,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
47,services,secondary,no,509456,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
42,technician,secondary,no,703312,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
59,admin.,secondary,no,1068744,no,5,may,yes,yes,unknown,D,1,-1,0,unknown,yes
46,self-employed,tertiary,no,294296,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
51,blue-collar,primary,no,242533,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
56,admin.,secondary,no,971499,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,no
41,technician,secondary,no,515091,no,5,may,yes,no,unknown,C,1,-1,0,unknown,yes
46,management,secondary,no,744517,yes,5,may,no,no,unknown,C,2,-1,0,unknown,yes
57,retired,secondary,no,457743,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
42,management,secondary,no,541250,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
30,technician,secondary,no,731120,yes,5,may,no,no,unknown,A,2,-1,0,unknown,yes
60,admin.,secondary,no,833118,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
60,blue-collar,unknown,no,861116,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
57,entrepreneur,secondary,no,347249,no,5,may,yes,no,unknown,B,1,-1,0,unknown,no
36,management,tertiary,no,639093,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
55,blue-collar,secondary,no,950134,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
60,retired,tertiary,no,842221,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
39,technician,secondary,no,1012835,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
46,management,tertiary,no,403173,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,blue-collar,secondary,no,667854,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
53,blue-collar,primary,no,660969,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
52,blue-collar,primary,no,625238,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
59,blue-collar,primary,no,0,no,5,may,yes,no,unknown,B,3,-1,0,unknown,yes
27,technician,tertiary,no,500187,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
44,blue-collar,secondary,no,287697,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
47,technician,tertiary,no,471300,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
34,admin.,secondary,no,156343,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
59,retired,secondary,no,699129,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
45,management,tertiary,no,586581,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
29,services,secondary,no,1011282,no,5,may,no,yes,unknown,D,1,-1,0,unknown,yes
46,technician,secondary,no,146945,no,5,may,yes,no,unknown,B,1,-1,0,unknown,no
56,self-employed,primary,no,892449,yes,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
36,blue-collar,primary,no,461263,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
59,retired,primary,no,658223,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,blue-collar,secondary,no,889340,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
41,admin.,secondary,no,357656,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
33,management,tertiary,no,433998,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
59,management,tertiary,no,774605,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
57,technician,primary,no,376816,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
56,technician,unknown,no,450086,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
51,blue-collar,secondary,no,642566,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
34,admin.,unknown,no,285110,no,5,may,no,yes,unknown,A,3,-1,0,unknown,yes
43,services,secondary,no,462691,yes,5,may,no,no,unknown,A,2,-1,0,unknown,yes
52,technician,tertiary,no,793612,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
33,technician,secondary,no,761528,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
29,admin.,secondary,no,511034,yes,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
34,services,secondary,no,506130,yes,5,may,no,no,unknown,B,1,-1,0,unknown,yes
31,blue-collar,secondary,no,282709,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
55,services,secondary,no,744604,no,5,may,yes,no,unknown,C,1,-1,0,unknown,yes
55,management,unknown,no,358101,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
32,admin.,secondary,no,387537,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
38,technician,secondary,no,556943,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
55,admin.,secondary,no,207774,yes,5,may,no,no,unknown,A,2,-1,0,unknown,yes
28,unemployed,tertiary,no,692080,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
23,blue-collar,secondary,no,287689,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
32,technician,secondary,no,743850,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
43,services,unknown,no,1454055,no,5,may,no,no,unknown,B,1,-1,0,unknown,no
32,blue-collar,secondary,no,487515,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
46,blue-collar,secondary,no,260142,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
53,housemaid,primary,no,397842,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
34,self-employed,secondary,no,692248,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
57,unemployed,tertiary,no,571702,no,5,may,no,no,unknown,B,1,-1,0,unknown,no
37,blue-collar,secondary,no,550176,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
59,blue-collar,secondary,no,625866,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
33,services,secondary,no,766586,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
56,blue-collar,primary,no,394610,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
48,unemployed,secondary,no,500259,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
43,services,primary,no,678803,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
54,blue-collar,primary,no,609019,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
51,blue-collar,unknown,no,553356,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
26,student,secondary,no,1053098,no,5,may,yes,yes,unknown,B,2,-1,0,unknown,yes
40,management,tertiary,no,516240,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
39,management,secondary,no,535579,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
50,technician,primary,no,625741,no,5,may,no,no,unknown,B,2,-1,0,unknown,no
41,services,secondary,no,447432,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
51,blue-collar,unknown,no,473699,no,5,may,no,yes,unknown,B,1,-1,0,unknown,yes
60,retired,secondary,no,65565,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
52,blue-collar,secondary,no,760752,no,5,may,no,no,unknown,A,3,-1,0,unknown,yes
48,blue-collar,secondary,no,554440,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
48,services,unknown,no,40775,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
39,technician,tertiary,no,359967,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
47,services,secondary,no,333536,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
40,blue-collar,secondary,no,581280,no,5,may,yes,no,unknown,B,5,-1,0,unknown,yes
45,technician,secondary,no,1042559,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
26,admin.,secondary,no,457661,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
52,management,tertiary,no,527842,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
54,technician,secondary,no,0,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,yes
54,admin.,tertiary,no,856578,no,5,may,yes,yes,unknown,A,2,-1,0,unknown,no
50,blue-collar,primary,no,709364,no,5,may,no,no,unknown,A,3,-1,0,unknown,no
35,blue-collar,secondary,no,246381,no,5,may,no,yes,unknown,B,1,-1,0,unknown,yes
44,services,secondary,no,581975,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
53,entrepreneur,unknown,no,379896,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
35,retired,primary,no,590915,no,5,may,no,yes,unknown,A,1,-1,0,unknown,no
60,admin.,secondary,no,786368,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
53,admin.,secondary,no,588232,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
48,unemployed,secondary,no,298751,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
34,technician,secondary,no,229858,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
54,services,secondary,no,494152,no,5,may,no,no,unknown,C,2,-1,0,unknown,yes
51,management,secondary,no,130012,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
31,services,tertiary,no,0,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
35,technician,secondary,no,523314,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
35,services,secondary,no,650003,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
38,technician,secondary,no,294334,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
36,admin.,tertiary,no,1037275,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
58,retired,primary,no,1341578,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
40,services,unknown,no,332846,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
54,management,secondary,no,258424,no,5,may,no,no,unknown,C,1,-1,0,unknown,no
34,blue-collar,secondary,no,266131,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
31,management,tertiary,no,657221,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
51,retired,secondary,no,745543,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
33,management,tertiary,no,318052,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
55,management,tertiary,no,784083,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
42,admin.,secondary,no,602416,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
34,blue-collar,secondary,no,67890,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
33,blue-collar,secondary,no,508185,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
38,services,secondary,no,742377,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
50,technician,tertiary,no,376215,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
43,management,tertiary,no,150244,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,yes
61,blue-collar,primary,no,439205,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
47,admin.,secondary,no,866681,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
48,self-employed,tertiary,no,890007,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
44,blue-collar,secondary,no,565680,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
35,student,unknown,no,453053,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
35,services,secondary,no,560635,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
50,services,secondary,no,0,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
41,management,tertiary,no,343749,yes,5,may,no,no,unknown,C,1,-1,0,unknown,yes
41,management,tertiary,no,18165,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
39,services,unknown,no,802993,no,5,may,yes,yes,unknown,C,1,-1,0,unknown,yes
42,retired,secondary,no,495549,no,5,may,no,yes,unknown,C,1,-1,0,unknown,yes
38,blue-collar,secondary,no,429618,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
53,retired,secondary,no,974518,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
59,housemaid,primary,no,56239,no,5,may,no,no,unknown,B,2,-1,0,unknown,no
36,services,secondary,no,372706,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
54,blue-collar,primary,no,718897,no,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
40,technician,tertiary,no,1096531,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,yes
47,unknown,unknown,no,727182,no,5,may,no,no,unknown,A,2,-1,0,unknown,no
53,unemployed,unknown,no,694521,no,5,may,no,no,unknown,A,3,-1,0,unknown,no
46,housemaid,primary,no,847519,no,5,may,no,no,unknown,C,1,-1,0,unknown,no
39,management,tertiary,no,578158,yes,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
40,unemployed,secondary,no,805854,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,yes
28,blue-collar,primary,no,282035,no,5,may,no,no,unknown,C,1,-1,0,unknown,yes
35,entrepreneur,secondary,no,542263,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
55,retired,secondary,no,473249,yes,5,may,no,no,unknown,A,1,-1,0,unknown,no
43,technician,unknown,no,401267,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
48,blue-collar,primary,no,386704,no,5,may,no,no,unknown,C,2,-1,0,unknown,yes
58,management,unknown,no,584279,no,5,may,no,no,unknown,A,3,-1,0,unknown,yes
33,management,tertiary,no,610240,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
36,blue-collar,unknown,no,756193,no,5,may,no,no,unknown,A,2,-1,0,unknown,no
53,services,secondary,no,465542,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
47,blue-collar,primary,no,587762,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
31,services,secondary,no,1155531,no,5,may,yes,yes,unknown,A,2,-1,0,unknown,yes
57,entrepreneur,secondary,no,527486,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
53,blue-collar,unknown,no,1158259,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,no
55,blue-collar,primary,no,723538,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
45,blue-collar,primary,no,442388,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
53,admin.,secondary,no,370317,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
37,blue-collar,primary,no,430052,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
44,admin.,secondary,no,504061,no,5,may,yes,yes,unknown,B,1,-1,0,unknown,yes
49,blue-collar,primary,no,516559,yes,5,may,yes,no,unknown,B,1,-1,0,unknown,yes
46,technician,secondary,no,436968,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
43,entrepreneur,unknown,no,908310,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
38,admin.,secondary,no,0,no,5,may,no,no,unknown,A,1,-1,0,unknown,no
43,technician,secondary,no,659440,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
49,management,tertiary,no,0,no,5,may,yes,yes,unknown,B,3,-1,0,unknown,yes
42,management,unknown,no,796137,no,5,may,yes,no,unknown,B,2,-1,0,unknown,no
22,blue-collar,secondary,no,430451,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
40,management,tertiary,no,54024,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
39,blue-collar,secondary,no,758502,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
51,services,secondary,no,557919,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
49,admin.,secondary,no,189495,no,5,may,no,no,unknown,B,1,-1,0,unknown,yes
53,blue-collar,secondary,no,415117,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
34,services,secondary,no,592229,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
33,technician,secondary,no,674018,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
50,management,tertiary,no,362741,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
39,blue-collar,primary,no,574570,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
59,entrepreneur,secondary,no,253272,no,5,may,no,no,unknown,A,3,-1,0,unknown,yes
30,technician,secondary,no,677103,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
36,services,secondary,no,138777,yes,5,may,no,no,unknown,A,1,-1,0,unknown,yes
40,blue-collar,secondary,no,723804,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
53,blue-collar,secondary,no,378099,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
34,management,tertiary,no,1116398,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
37,technician,secondary,no,548636,no,5,may,no,yes,unknown,A,1,-1,0,unknown,yes
42,management,tertiary,no,735374,no,5,may,yes,no,unknown,B,3,-1,0,unknown,yes
41,entrepreneur,primary,no,645304,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
30,student,tertiary,no,919132,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
37,management,tertiary,no,684552,no,5,may,no,yes,unknown,B,1,-1,0,unknown,yes
39,admin.,secondary,no,510150,no,5,may,no,no,unknown,C,2,-1,0,unknown,yes
41,blue-collar,primary,no,736555,yes,5,may,no,no,unknown,A,2,-1,0,unknown,yes
40,blue-collar,primary,no,511493,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
42,management,tertiary,no,791537,yes,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
40,blue-collar,primary,no,1004542,no,5,may,no,no,unknown,A,1,-1,0,unknown,yes
57,technician,secondary,no,687730,no,5,may,yes,no,unknown,B,4,-1,0,unknown,yes
56,entrepreneur,secondary,no,915741,no,5,may,no,no,unknown,B,3,-1,0,unknown,no
37,admin.,secondary,no,857117,no,5,may,no,no,unknown,C,2,-1,0,unknown,yes
59,retired,secondary,no,921757,no,5,may,no,no,unknown,A,3,-1,0,unknown,yes
39,services,secondary,no,442806,no,5,may,no,no,unknown,C,3,-1,0,unknown,yes
49,services,secondary,no,458052,no,5,may,no,no,unknown,C,2,-1,0,unknown,no
38,services,secondary,no,132066,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
36,self-employed,tertiary,no,208349,no,5,may,no,no,unknown,A,2,-1,0,unknown,no
50,blue-collar,primary,no,739437,no,5,may,no,yes,unknown,A,3,-1,0,unknown,yes
41,admin.,secondary,no,767838,yes,5,may,no,no,unknown,A,2,-1,0,unknown,yes
54,technician,tertiary,no,728231,no,5,may,no,no,unknown,A,4,-1,0,unknown,no
58,blue-collar,primary,no,736297,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
30,blue-collar,secondary,no,831468,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
33,admin.,secondary,no,793800,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
47,admin.,secondary,no,542113,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
50,technician,tertiary,no,397826,no,5,may,no,no,unknown,A,3,-1,0,unknown,yes
32,blue-collar,secondary,no,377737,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
40,self-employed,secondary,no,132526,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
37,management,tertiary,no,0,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
54,technician,unknown,no,0,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
24,student,secondary,no,469312,no,5,may,no,yes,unknown,A,3,-1,0,unknown,yes
54,management,tertiary,no,670881,no,5,may,no,no,unknown,A,2,-1,0,unknown,no
34,technician,secondary,no,406243,no,5,may,no,no,unknown,A,4,-1,0,unknown,yes
56,technician,primary,no,668271,no,5,may,no,no,unknown,C,2,-1,0,unknown,yes
31,blue-collar,secondary,no,631053,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
24,student,secondary,no,713132,no,5,may,no,yes,unknown,A,2,-1,0,unknown,yes
42,blue-collar,primary,no,499505,no,5,may,yes,yes,unknown,A,3,-1,0,unknown,yes
57,technician,secondary,no,581205,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
42,blue-collar,unknown,no,959584,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
51,admin.,secondary,no,771838,no,5,may,yes,yes,unknown,B,2,-1,0,unknown,yes
57,retired,secondary,no,260302,no,5,may,yes,no,unknown,B,2,-1,0,unknown,yes
36,services,secondary,no,259726,no,5,may,no,no,unknown,A,2,-1,0,unknown,yes
53,services,unknown,no,718648,no,5,may,no,yes,unknown,C,2,-1,0,unknown,yes
50,technician,secondary,no,579809,no,5,may,no,no,unknown,B,2,-1,0,unknown,yes
